"ARN","Name","EminenceScore"
"3212","Roger Raveel","69.75"
"3364","Hal Moore","69.75"
"4196","Arnaldo Forlani","69.75"
"4293","François Morellet","69.75"
"4427","Agustín García Calvo","69.75"
"4654","Sérgio Rodrigues","69.75"
"4833","Kate Wilhelm","69.75"
"4846","Ian Bannen","69.75"
"5059","Antonio Carbajal","69.75"
"5371","Carmen Sevilla","69.75"
"5392","Bill Brock","69.75"
"5765","Michael McClure","69.75"
"5769","Jean-Pierre Cassel","69.75"
"6248","Mel Ramos","69.75"
"6355","Lina Morgan","69.75"
"7243","Joe Morgan","69.50"
"5928","Robert Blake","69.50"
"7407","Hale Irwin","69.50"
"2888","Cardinal John O'Connor","69.50"
"6077","Edward Bond","69.50"
"4272","Jacques Villeglé","69.50"
"7854","Kadri Gopalnath","69.50"
"4044","Linda Goodman","69.50"
"4047","François Gros","69.50"
"4147","David Hamburg","69.50"
"4238","Art Arfons","69.50"
"5061","Daniel Widlöcher","69.50"
"5665","Craig Kauffman","69.50"
"6373","Charlie Gracie","69.50"
"7189","Dennis Linde","69.50"
"9035","Daniella Perez","69.50"
"2891","Luciano Chailly","69.50"
"3221","Robert L. Letsinger","69.50"
"3432","John Gillespie Jr. Magee","69.50"
"4193","Roger Cayrel","69.50"
"8688","John Joubert","69.50"
"949","Willem van Otterloo","69.50"
"995","Frank Fitzsimmons","69.50"
"2770","Heloise Bowles Cruse","69.50"
"3188","George Groves","69.50"
"3338","Lila Cockrell","69.50"
"195","Ramón Serrano Súñer","69.50"
"287","Ernst Wilhelm Nay","69.50"
"3597","Robert Trias","69.50"
"4135","Franklin Sousley","69.50"
"642","Haakon Lie","69.50"
"1787","Saima Harmaja","69.50"
"869","Maurice Cloche","69.50"
"184","Claude Autant-Lara","69.50"
"259","Marguerite Henry","69.50"
"352","Franz Burda","69.50"
"646","Yves Allégret","69.50"
"887","Melvin Belli","69.50"
"1303","Hugh Nibley","69.50"
"1484","Silvan Tomkins","69.50"
"1722","Pierre Grimal","69.50"
"2045","Marcel Landowski","69.50"
"2249","Bert Haanstra","69.50"
"2528","Gene Rayburn","69.50"
"3198","Celia Franca","69.50"
"3271","Raymond Goethals","69.50"
"3477","Roland Dumas","69.50"
"3737","Rina Lazo","69.50"
"4021","Willigis Jäger","69.50"
"4148","José Cardoso Pires","69.50"
"4381","Nancy Spero","69.50"
"4719","Capucine","69.50"
"4850","Georges-Jean Arnaud","69.50"
"5742","Geneviève de Fontenay","69.50"
"5781","Michel David-Weill","69.50"
"7321","Levi Watkins","69.50"
"6589","Willie McCovey","69.25"
"1074","Sister Emmanuelle","69.25"
"4555","John Chamberlain","69.25"
"5545","Alberto Baillères","69.25"
"5736","Gerald Carr","69.25"
"7666","William J. Bratton","69.25"
"1205","Hildegard Peplau","69.25"
"1633","A.E. Van Vogt","69.25"
"2998","Hans Blumenberg","69.25"
"4059","Stephen Jr. Bechtel","69.25"
"6275","Marc Augé","69.25"
"2325","John Alexander Simpson","69.25"
"2346","Alfredo Ripstein","69.25"
"2904","Oscar Brand","69.25"
"3731","Robert Craft","69.25"
"4363","Sydney Omarr","69.25"
"4407","Curtis Harrington","69.25"
"5752","Nick Kotz","69.25"
"6094","Nino Ferrer","69.25"
"6899","Mark Hampton","69.25"
"7341","Chris Chubbuck","69.25"
"7365","Timmy Thomas","69.25"
"8200","Danny Sugerman","69.25"
"8382","David Palmer","69.25"
"9091","Benoit Violier","69.25"
"9112","Brian Lawler","69.25"
"308","Alfredo Binda","69.25"
"2323","Hadda Brooks","69.25"
"2432","William von Eggers Doering","69.25"
"2623","J. B. Fuqua","69.25"
"3803","Jean Veloz","69.25"
"4295","James H. Kasler","69.25"
"4921","Ronaldo Bôscoli","69.25"
"3700","Jeraldine Saunders","69.25"
"1469","Luise Rinser","69.25"
"777","Lalla Romano","69.25"
"841","Theun de Vries","69.25"
"1093","Giovanni Bonelli","69.25"
"364","Ellin Berlin","69.25"
"87","Julien Green","69.25"
"234","Rudolph Bing","69.25"
"261","Jaime Torres Bodet","69.25"
"1075","Imogene Coca","69.25"
"2763","André Bettencourt","69.25"
"2778","Betty Garrett","69.25"
"2801","Albert Batteux","69.25"
"4576","Dieter Hildebrandt","69.25"
"5908","Paul de Senneville","69.25"
"6059","Anne Sylvestre","69.25"
"6774","Jair Rodrigues","69.25"
"3160","Warren Spahn","69.00"
"8696","Cecil Fielder","69.00"
"3210","Robert Bruce Merrifield","69.00"
"7943","Alex Chilton","69.00"
"1684","Elsa Morante","69.00"
"4115","Alain Touraine","69.00"
"5939","William G. Bowen","69.00"
"3609","Gene Reynolds","69.00"
"3905","Arthur Janov","69.00"
"3968","Allan Sherman","69.00"
"7272","Bobby Keys","69.00"
"1757","Jim Backus","69.00"
"3719","William A. Fraker","69.00"
"4015","Samuel Dash","69.00"
"4054","Johnny Horton","69.00"
"4206","Claudio Villa","69.00"
"4454","Lawrence Turman","69.00"
"4940","Enzo Tortora","69.00"
"5802","James Hormel","69.00"
"5810","Jean Vuarnet","69.00"
"6344","Brad Steiger","69.00"
"6672","Mary McFadden","69.00"
"7241","Irwin Goodman","69.00"
"7887","Robbie McIntosh","69.00"
"8093","Jean Teulé","69.00"
"2106","Jean Stafford","69.00"
"603","Herbert Busemann","69.00"
"813","Wilhelm Magnus","69.00"
"941","Christopher Fry","69.00"
"954","Jean Delannoy","69.00"
"1858","Eddie Constantine","69.00"
"3057","Harry Alan Towers","69.00"
"3986","Martha Hildebrandt","69.00"
"5169","John S. Dunne","69.00"
"5384","Eugene A. Obregon","69.00"
"5409","Larry Stevenson","69.00"
"756","John Innes MacKintosh Stewart","69.00"
"2096","Alice T. Schafer","69.00"
"3181","Leon Hale","69.00"
"3485","Vance Bourjaily","69.00"
"3913","Christian Fredrik Borchgrevink","69.00"
"2803","John W. Powell","69.00"
"1046","Marguerite Young","69.00"
"1637","Emery Hawkins","69.00"
"41","Hans Fritzsche","69.00"
"142","Louis Leprince-Ringuet","69.00"
"330","Gerrit Jan van der Veen","69.00"
"717","Pierre Vilar","69.00"
"2092","Donald Budge","69.00"
"2303","Françoise Giroud","69.00"
"2383","Robert Taft","69.00"
"3062","Nanette Fabray","69.00"
"3658","Josephine Clay Ford","69.00"
"3782","Dorothy Malone","69.00"
"5911","Rudi van Dantzig","69.00"
"6431","Michel Aumont","69.00"
"2870","William Nunn Lipscomb","68.75"
"6437","Mary Travers","68.75"
"8897","Lisa Marie Presley","68.75"
"1782","William Inge","68.75"
"2680","Florence Chadwick","68.75"
"7329","Michel Polnareff","68.75"
"1414","José Lezama Lima","68.75"
"5336","Forrest Fenn","68.75"
"8962","Pedro Suárez-Vértiz","68.75"
"793","Esther Peterson","68.75"
"1072","Pauline Trigère","68.75"
"6045","Enzo Siciliano","68.75"
"6078","M. Stanton Evans","68.75"
"6614","Charles G. Boyd","68.75"
"8049","Phil Seymour","68.75"
"8695","Gian-Carlo Coppola","68.75"
"2819","Sacha Vierny","68.75"
"3248","Kenneth W. Thompson","68.75"
"3402","Valérie André","68.75"
"4058","Harold Fischer","68.75"
"4182","William F. Miller","68.75"
"4185","James Leo Jr. Garrett","68.75"
"4856","Jeanne Loriod","68.75"
"5209","Philip Hoffman","68.75"
"7335","Jan-Carl Raspe","68.75"
"1040","Otto Kerner","68.75"
"2290","Dorothy Cheney","68.75"
"3288","Denise Duval","68.75"
"4004","Stuart Wagstaff","68.75"
"4292","Harold L. Humes","68.75"
"892","Gladys Bentley","68.75"
"1924","Ross Lockridge","68.75"
"3948","Ralph Lazo","68.75"
"1960","Sheldon Vanauken","68.75"
"2426","Wally Jay","68.75"
"1850","John Guedel","68.75"
"783","Edmundo O'Gorman","68.75"
"1713","Gunther Plaut","68.75"
"2607","Pita Amor","68.75"
"4851","Warren Oates","68.75"
"4993","Hayden Fry","68.75"
"5803","Anne Stevenson","68.75"
"6935","Gudrun Ensslin","68.75"
"7274","Carlo Benetton","68.75"
"9301","Jonathan Brandis","68.75"
"1790","Woody Herman","68.50"
"2544","Philip José Farmer","68.50"
"4073","Rosario Castellanos","68.50"
"5254","Rolf Harris","68.50"
"7067","Mike Pinder","68.50"
"7198","Hervé Villechaize","68.50"
"7954","Philippe Pozzo Di Borgo","68.50"
"4742","Edmund Keeley","68.50"
"4871","Camilla Wicks","68.50"
"5032","Paige Rense","68.50"
"5914","Bobby Helms","68.50"
"6276","Ward Just","68.50"
"7502","Jack Wrangler","68.50"
"8641","Miss Cleo","68.50"
"1829","Ferruccio Tagliavini","68.50"
"1837","Ray Dandridge","68.50"
"1996","Alberto Lattuada","68.50"
"3510","Fred J. Koenekamp","68.50"
"3604","Kenneth Franklin","68.50"
"3811","Margaret K. Butler","68.50"
"5343","Charles Foley","68.50"
"5786","John Hall","68.50"
"5838","William Smith","68.50"
"6745","Crown Prince of Albania Leka","68.50"
"3800","David Bretherton","68.50"
"1393","W. Nelson Francis","68.50"
"1367","Edgar de Evia","68.50"
"1460","Rafael Arnáiz Barón","68.50"
"1209","William H. Ziegler","68.50"
"649","Aldo Fabrizi","68.50"
"722","Gerd Bucerius","68.50"
"1593","David Rousset","68.50"
"1948","Wolfgang Windgassen","68.50"
"1974","Rogers Morton","68.50"
"2715","Carole Landis","68.50"
"2755","Nilla Pizzi","68.50"
"2953","Guido Cantelli","68.50"
"2974","Ruth Graham","68.50"
"2980","Yves Robert","68.50"
"3090","Franco Lucentini","68.50"
"3106","Juanita Kreps","68.50"
"3149","Samuel P. Hays","68.50"
"3296","Harald Quandt","68.50"
"3871","Dennis Weaver","68.50"
"3923","Lucebert","68.50"
"4251","Rubén Fuentes","68.50"
"5450","Mady Mesplé","68.50"
"6743","Phil Niekro","68.50"
"6809","Jean-Claude Gaudin","68.50"
"4003","Virginia E. Johnson","68.25"
"6767","Siegfried Fischbacher","68.25"
"5921","Walter LaFeber","68.25"
"6790","Luther Allison","68.25"
"710","Eddie Albert","68.25"
"4104","Jean Raspail","68.25"
"4446","Al Ries","68.25"
"4873","Charles Blackman","68.25"
"4933","Dara Singh","68.25"
"5637","Vivienne Malone-Mayes","68.25"
"5804","Fred L. Turner","68.25"
"9094","Andre Matos","68.25"
"3761","Eugenio Garza Lagüera","68.25"
"3934","Margaret Fulton","68.25"
"4260","H. Norman Abramson","68.25"
"5199","Edgar Lansbury","68.25"
"5766","Frédéric François","68.25"
"7570","Pamela Courson","68.25"
"8939","Prince of Orange-Nassau Friso","68.25"
"9151","Mónica Santa María","68.25"
"9555","Brad Renfro","68.25"
"997","Georg Brauer","68.25"
"1226","Philip Hershkovitz","68.25"
"2517","Wenche Foss","68.25"
"2876","William S. Richardson","68.25"
"2918","James Mitchell","68.25"
"4081","Thomas Winning","68.25"
"4966","Billy Walker","68.25"
"5762","Ben Aronov","68.25"
"1158","Manuel Garcia-Pelayo","68.25"
"1345","Hélène de Beauvoir","68.25"
"1664","Milton Shapp","68.25"
"1839","Renato Castellani","68.25"
"2439","Willa Kim","68.25"
"3347","Anne MacKaye Chapman","68.25"
"3698","Roger Pierre","68.25"
"3834","Espen Skjønberg","68.25"
"2130","Knut Nystedt","68.25"
"2746","Alfred Apaka","68.25"
"3573","Robert B. Asprey","68.25"
"1511","Margaret Hodges","68.25"
"1695","Jean Lescure","68.25"
"2280","Georgette Seabrooke","68.25"
"1397","John Yeon","68.25"
"945","Georg Haentzschel","68.25"
"750","Donald W. Reynolds","68.25"
"1377","Georges Loinger","68.25"
"1841","Félicien Marceau","68.25"
"2137","Andrew Heiskell","68.25"
"2754","Maurice Girodias","68.25"
"5279","José Jiménez Lozano","68.25"
"5424","Lucia Bosè","68.25"
"7809","Arno","68.25"
"5248","Owen Gingerich","68.00"
"8722","Vinnie Paul","68.00"
"3910","Kenny Dorham","68.00"
"4283","James Hillman","68.00"
"6675","Sonny Barger","68.00"
"4388","Daryl Gates","68.00"
"4468","Elisabeth Elliot","68.00"
"4512","Rosario Ibarra","68.00"
"7283","Lynn Harrell","68.00"
"8513","Dorothy Stratten","68.00"
"8615","Mary Kay Letourneau","68.00"
"1785","Si Ramo","68.00"
"2469","Cleveland Amory","68.00"
"3125","Vera-Ellen","68.00"
"3217","William Roth","68.00"
"4685","Teresa J. Vietti","68.00"
"5095","Patrick Flores","68.00"
"5508","Mary Sue Hubbard","68.00"
"5734","Thomas P. Salmon","68.00"
"5864","Hervé Bourges","68.00"
"6396","John Korty","68.00"
"6988","Jonathan Kwitny","68.00"
"7088","Françoise Dorléac","68.00"
"9408","Marco Siffredi","68.00"
"1153","Magda Schneider","68.00"
"3115","Madeleine Lebeau","68.00"
"3282","Beatrice Worsley","68.00"
"3443","Gérard Calvi","68.00"
"3999","Barefoot Sanders","68.00"
"4141","Joaquín Vargas Gómez","68.00"
"4298","Peter G. Ossorio","68.00"
"4463","Allan Verne Cox","68.00"
"4790","Egil Monn-Iversen","68.00"
"5046","James Douglas","68.00"
"5256","Calvin Graham","68.00"
"5292","Ricardo García Sainz","68.00"
"8601","Rocky Dennis","68.00"
"9488","Imette Saint Guillen","68.00"
"2186","Arnoldo Foà","68.00"
"4076","Mick McGahey","68.00"
"4875","William D. Sellers","68.00"
"5721","Kui Lee","68.00"
"1026","Alexander H. Leighton","68.00"
"2972","Britt Woodman","68.00"
"3292","Warren Allen Smith","68.00"
"2595","Robert Shields","68.00"
"3121","Corinne Luchaire","68.00"
"902","Lester Lanin","68.00"
"922","Alice Marriott","68.00"
"938","Lucien Laurent","68.00"
"3250","Ray Manley","68.00"
"657","Ernst Hermann Meyer","68.00"
"729","Grete Sultan","68.00"
"59","José Gomes Ferreira","68.00"
"295","Leopoldo Méndez","68.00"
"420","Jean Aurenche","68.00"
"660","Gilbert Roland","68.00"
"937","Berta Bobath","68.00"
"1453","Pierre Harmel","68.00"
"2094","Günther Gerzso","68.00"
"2373","Alain Poiré","68.00"
"3035","Richard Farnsworth","68.00"
"3175","Daniel Gélin","68.00"
"4303","Michio Kushi","68.00"
"4379","Marc Bohan","68.00"
"4860","Orson Bean","68.00"
"5269","Ollie Matson","68.00"
"5898","Richard G. Hatcher","68.00"
"5947","Yigal Tumarkin","68.00"
"6650","Pierre Christin","68.00"
"7290","François Cevert","68.00"
"3993","Benjamin Hooks","67.75"
"4403","Sidney Drell","67.75"
"4624","Harry Mulisch","67.75"
"5912","Doyle Brunson","67.75"
"7208","Superstar Billy Graham","67.75"
"7289","Robert Kardashian","67.75"
"8774","Brandon Lee","67.75"
"1772","Richard Helms","67.75"
"6784","Robert James Waller","67.75"
"6845","Thomas M. Disch","67.75"
"9346","Ryan Dunn","67.75"
"1135","Margaret Sullavan","67.75"
"1565","Henri Troyat","67.75"
"3853","Renato Balestra","67.75"
"6233","Fergus Millar","67.75"
"6627","David Viscott","67.75"
"2088","Ruth Stone","67.75"
"3512","Salvatore Giuliano","67.75"
"3812","Herbert Gold","67.75"
"4691","Robert Butler","67.75"
"5743","Allan Fotheringham","67.75"
"8991","Andrew Cunanan","67.75"
"2256","Hank Luisetti","67.75"
"2937","Marga Minco","67.75"
"3337","Guy Madison","67.75"
"3465","Betsy Bloomingdale","67.75"
"3695","Jay Kordich","67.75"
"4639","William Dawson","67.75"
"4986","William Franklin III Lee","67.75"
"5303","Pierre Romeyer","67.75"
"5361","Billy Strange","67.75"
"5720","Nancy Ledins","67.75"
"3447","Carilda Oliver Labra","67.75"
"3470","Robert von Mehren","67.75"
"3691","Pierre Barillet","67.75"
"3747","Melvin E. Biddle","67.75"
"4889","Walter H. Breen","67.75"
"272","Jean-Philippe Lauer","67.75"
"479","Heinrich Gerhard Kuhn","67.75"
"1355","Peter McIntyre","67.75"
"986","Gerolf Steiner","67.75"
"1480","Annie Skau Berntsen","67.75"
"47","Manuel Maples Arce","67.75"
"63","Pierre Matisse","67.75"
"921","Allan Jones","67.75"
"1179","Paul Ricard","67.75"
"1299","Jacinta Marto","67.75"
"1717","Claude Pompidou","67.75"
"2882","Early Wynn","67.75"
"2952","Jean Carmet","67.75"
"3184","Forbes Carlile","67.75"
"3279","Georges Wilson","67.75"
"3494","Gianna Beretta Molla","67.75"
"3529","Christian Dotremont","67.75"
"3571","Knox Martin","67.75"
"4093","Doris Hart","67.75"
"4356","Arrigo Levi","67.75"
"4798","Carl Gardner","67.75"
"6472","Hagood Hardy","67.75"
"6782","Michael Longley","67.75"
"6931","Just Jaeckin","67.75"
"6946","Yves Navarre","67.75"
"7624","Gérard Collomb","67.75"
"1217","David Riesman","67.50"
"3777","J. J. Johnson","67.50"
"4487","Kenneth Anger","67.50"
"6119","Udo Jürgens","67.50"
"1642","Richard Brooks","67.50"
"1739","Lloyd Bridges","67.50"
"3536","Jim Wright","67.50"
"4016","Kenneth Koch","67.50"
"6367","Alejandra Pizarnik","67.50"
"7663","Lynn Anderson","67.50"
"8753","Andy Hug","67.50"
"9510","Nicky Hayden","67.50"
"9664","Gaspard Ulliel","67.50"
"3727","Bill McLaren","67.50"
"4113","Alan Whicker","67.50"
"5569","Elizabeth Blackadder","67.50"
"6425","Fernando Sánchez Dragó","67.50"
"6605","Pierre Péan","67.50"
"6705","Michel Siffre","67.50"
"6982","Ernesto Miranda","67.50"
"772","George Trevelyan","67.50"
"3174","Patrick Dennis","67.50"
"3360","Harold Hughes","67.50"
"3628","Stanley Biber","67.50"
"4613","Marcel Azzola","67.50"
"5275","John Kenneth Stille","67.50"
"5453","Robert B. Oakley","67.50"
"6249","Lowry Mays","67.50"
"9024","Brody Stevens","67.50"
"1584","Giulio Einaudi","67.50"
"1800","Wilbur Joseph Cohen","67.50"
"2454","Wah Chang","67.50"
"4455","Antonia Brenner","67.50"
"4575","Lida Barrett","67.50"
"4700","Charles E. Wiggins","67.50"
"4826","Mervin E. Muller","67.50"
"5738","Cliff Raven","67.50"
"9228","Rita Atria","67.50"
"898","Abe Sinkov","67.50"
"1597","Howard Cannon","67.50"
"3449","Alan Armer","67.50"
"4819","Max Bennett","67.50"
"5347","Jack Davis","67.50"
"5625","William G. Hamilton","67.50"
"2665","Jessie Mae Robinson","67.50"
"3333","Thomas Tang","67.50"
"3375","Jackie Kelso","67.50"
"3656","Scotty Bowers","67.50"
"1671","Simone Del Duca","67.50"
"342","Ervin Nyiregyhazi","67.50"
"864","Sigvard Bernadotte","67.50"
"143","Princess of Sweden Märtha","67.50"
"626","Leopold Engleitner","67.50"
"358","Erwin Stein","67.50"
"282","Henri Guillaumet","67.50"
"505","Margery Allingham","67.50"
"780","Mario Soldati","67.50"
"2101","Charlotte Zolotow","67.50"
"2596","Manuel Pertegaz","67.50"
"4415","Frances Farenthold","67.50"
"4653","Kika de la Garza","67.50"
"5045","Jean-Denis Bredin","67.50"
"5086","Eduardo Lizalde","67.50"
"5102","Don Larsen","67.50"
"5111","John McMartin","67.50"
"5662","Gianfranco Funari","67.50"
"5677","George Aghajanian","67.50"
"6569","Jeannot Szwarc","67.50"
"7412","Art Bell","67.25"
"2179","P. W. Botha","67.25"
"2971","Tex Schramm","67.25"
"3636","Red Garland","67.25"
"3732","Ned Rorem","67.25"
"6378","Harold Budd","67.25"
"6533","Robert Stone","67.25"
"7636","Peter Serkin","67.25"
"3959","Phyllis Lyon","67.25"
"4313","Bud Shank","67.25"
"4533","Ian Player","67.25"
"7003","Stanley Cowell","67.25"
"7125","Daryl Dragon","67.25"
"2199","Raf Vallone","67.25"
"2490","Marsha Hunt","67.25"
"3724","Harry Pregerson","67.25"
"3786","Robert Byron Bird","67.25"
"4438","Fulvio Roiter","67.25"
"4594","Julian Nava","67.25"
"4922","Herb Geller","67.25"
"5048","Philippe Venet","67.25"
"5278","Pat McCormick","67.25"
"5380","Philip Crane","67.25"
"5962","Michel Roquejeoffre","67.25"
"6699","Fred Cox","67.25"
"7112","Mike Willesee","67.25"
"7594","Princess of the Netherlands Christina","67.25"
"7765","Ruth Welting","67.25"
"7852","Gonzalo Portocarrero","67.25"
"8240","Francesco Nuti","67.25"
"9231","Caroline Aigle","67.25"
"4623","Guy Carawan","67.25"
"1885","Roger Wagner","67.25"
"2492","René Laurentin","67.25"
"3755","H. Pierre Noyes","67.25"
"3814","George Haines","67.25"
"3909","Peggy Ryan","67.25"
"3921","Eugene S. Mills","67.25"
"4420","Dion Neutra","67.25"
"4483","Vera Williams","67.25"
"4630","Evans III Woollen","67.25"
"4931","Vernon Dvorak","67.25"
"5012","Michel Franchimont","67.25"
"5396","Bruno Huber","67.25"
"5440","Ruth Siems","67.25"
"5629","James Grigson","67.25"
"6632","Maïté","67.25"
"9279","Michel Trudeau","67.25"
"3015","Roland de La Poype","67.25"
"4677","Chuck Jordan","67.25"
"4814","Marcia Moore","67.25"
"749","Jean Dréville","67.25"
"969","Jean-Pierre Wimille","67.25"
"811","Hans Bender","67.25"
"1562","Florence Melton","67.25"
"1281","Benay Venuta","67.25"
"1424","Prince of Sweden Carl Bernadotte","67.25"
"2523","Gregers Gram","67.25"
"776","Hereditary Grand Duke of Hesse Georg Donatus","67.25"
"239","Curt Herzstark","67.25"
"1130","Jack Kinney","67.25"
"1220","Sam Yorty","67.25"
"3398","Gale Storm","67.25"
"4034","Romana Acosta Banuelos","67.25"
"4780","Lilia Prado","67.25"
"5210","Esteban Torres","67.25"
"8824","Greg Maddux","67.00"
"2563","Theodore Sturgeon","67.00"
"7306","Steve Fossett","67.00"
"8068","Herb Ritts","67.00"
"1615","Pat Nixon","67.00"
"3084","Carlo Ciampi","67.00"
"7172","Henry Cecil","67.00"
"9780","Marco Simoncelli","67.00"
"644","Helen Moody","67.00"
"5130","Cecil Williams","67.00"
"5282","Don Lind","67.00"
"5688","Robert Bechtle","67.00"
"6148","Claudio Scimone","67.00"
"491","Kurt Georg Kiesinger","67.00"
"5291","Princess of Norway Ragnhild","67.00"
"5435","Cliff Gustafson","67.00"
"5522","Carl E. Reichardt","67.00"
"6558","Édith Scob","67.00"
"7038","Catherine Ribeiro","67.00"
"7626","Thor Hansen","67.00"
"8410","Christian Brando","67.00"
"8983","Rachel Rockwell","67.00"
"9833","Jiah Khan","67.00"
"1181","Curly Joe DeRita","67.00"
"2733","Snooky Young","67.00"
"3330","Alfonso Martínez Domínguez","67.00"
"3518","Graham Crowden","67.00"
"3572","Michael Anthony Bilandic","67.00"
"3644","Anna Proclemer","67.00"
"3825","Byrd Baylor","67.00"
"3966","Robert W. Lichtwardt","67.00"
"4616","Renato Donatelli","67.00"
"4816","Buster Welch","67.00"
"5142","Wendell Garrett","67.00"
"6022","Sixto Valencia Burgos","67.00"
"7695","Al Berto","67.00"
"10205","Abdulrahman al-Awlaki","67.00"
"3253","Richard S. Prather","67.00"
"4219","Robert Basmann","67.00"
"4400","Norman R. Palmer","67.00"
"2279","Ignacio Trelles","67.00"
"2347","Walt Arfons","67.00"
"3047","Henry Farrell","67.00"
"3713","Evelyn McHale","67.00"
"346","Egon von Vietinghoff","67.00"
"587","Eugène Bozza","67.00"
"687","Agostinho da Silva","67.00"
"1162","J. Irwin Miller","67.00"
"1403","Jean-Marcel Jeanneney","67.00"
"2191","Joseph Alioto","67.00"
"2736","Forrest Tucker","67.00"
"4622","Pasquale Festa Campanile","67.00"
"5298","Hilderaldo Bellini","67.00"
"5740","Gastón Guzmán","67.00"
"8024","Simon MacCorkindale","67.00"
"8055","Hubert Auriol","67.00"
"6331","Gianni Vattimo","66.75"
"7259","Bert Jansch","66.75"
"7508","Ken Starr","66.75"
"8344","Falco","66.75"
"2789","Sam Wanamaker","66.75"
"3883","Paul Conrad","66.75"
"6442","Phillippe Sollers","66.75"
"6729","Jim Bouton","66.75"
"8172","Freddie Prinze","66.75"
"3182","Alida Valli","66.75"
"4768","Karl Heinz Böhm","66.75"
"7896","John Paul Young","66.75"
"8576","Mary Kay Bergman","66.75"
"6709","Paul Coverdell","66.75"
"7558","Jean-François Théodore","66.75"
"7965","Marielle de Sarnez","66.75"
"8608","Michael France","66.75"
"8787","Lari White","66.75"
"4360","Robert McCormick Jr. Adams","66.75"
"2210","Red Callender","66.75"
"3554","Nora Brockstedt","66.75"
"3657","Margaret Hance","66.75"
"3953","Joe Flynn","66.75"
"4069","Morley Cowles Ballantine","66.75"
"4402","David Chadwick","66.75"
"4832","Tony Ortega","66.75"
"4961","Lee Sechrest","66.75"
"5116","Theodore Kanamine","66.75"
"5228","James McGarrell","66.75"
"5656","Michel Goma","66.75"
"5783","Jerry Coker","66.75"
"6830","Clifford Olson","66.75"
"8502","Charles Stuart","66.75"
"9093","Christina Marie Riggs","66.75"
"2661","Audra Lindley","66.75"
"2672","Roy Ash","66.75"
"2699","Max Merkel","66.75"
"3787","Ivo Garrani","66.75"
"4712","H. L. Richardson","66.75"
"1005","Eric Ledermann","66.75"
"100","Erna Berger","66.75"
"436","Archduchess of Austria Helena","66.75"
"278","Prince of Bavaria Joseph Clemens","66.75"
"16","Madeleine Renaud","66.75"
"561","Luigi Zampa","66.75"
"872","John McIntire","66.75"
"1412","Marjorie Grene","66.75"
"2414","Kenneth N. Taylor","66.75"
"2866","Helen Walton","66.75"
"3563","Bernard Gersten","66.75"
"3801","Agustín Hernández Navarro","66.75"
"4084","Willem Leonard Oltmans","66.75"
"4371","Agostino Cacciavillan","66.75"
"4418","Marcello Abbado","66.75"
"4730","James R. Lilley","66.75"
"5878","John Scales Avery","66.75"
"6278","Antonio Velasco Piña","66.75"
"6481","Lincoln Mayorga","66.75"
"6551","Roberto Herlitzka","66.75"
"6738","Cale Yarborough","66.75"
"6765","Michael J. Pollard","66.75"
"7072","Karel Van Miert","66.75"
"7180","Reginaldo Rossi","66.75"
"7942","Rockdrigo González","66.75"
"1725","Doris Duke","66.50"
"8922","Frank Thomas","66.50"
"1124","Ernest Gallo","66.50"
"1870","Jean Marais","66.50"
"4713","Robert Hossein","66.50"
"5835","Michel Hidalgo","66.50"
"4703","Stein Eriksen","66.50"
"5484","Alberto da Costa e Silva","66.50"
"5763","Paul Anderson","66.50"
"6311","Mordicai Gerstein","66.50"
"1472","Annie Schmidt","66.50"
"3531","Jack Brooks","66.50"
"3872","W. Marvin Watson","66.50"
"4984","Bernhard Luginbühl","66.50"
"5017","Mike Hawthorn","66.50"
"5324","Nancy Teeters","66.50"
"5405","Rosanna Carteri","66.50"
"6459","Princess of Sweden Birgitta","66.50"
"7353","Bernard Debré","66.50"
"7708","Javier Diez Canseco","66.50"
"7747","Stefano D'Orazio","66.50"
"8131","Christine Pascal","66.50"
"8252","Sally Brampton","66.50"
"8462","Roger Agnelli","66.50"
"766","Walter Süskind","66.50"
"2639","Albert George Wilson","66.50"
"3836","Aldo Giuffrè","66.50"
"3842","Hertha Töpper","66.50"
"4025","Ace Reid","66.50"
"4655","Laird Koenig","66.50"
"4683","Lauretta Masiero","66.50"
"5039","William O'Connell","66.50"
"5509","João Lyra","66.50"
"8613","François Vérove","66.50"
"1784","Clyde A. Jr. Hutchison","66.50"
"2849","Elinor Otto","66.50"
"3954","Leonard Nathan","66.50"
"4122","Daniel Fuller","66.50"
"4353","Margaret Morrison Miller","66.50"
"4478","Ignacio E. Jr. Lozano","66.50"
"4771","Welcome W. Wilson","66.50"
"5304","Kenneth Wannberg","66.50"
"6427","James Hanratty","66.50"
"1198","Cesare Luporini","66.50"
"2381","Sybil Leek","66.50"
"809","Michel Lejeune","66.50"
"979","Edgar Bodenheimer","66.50"
"955","Florence Bird","66.50"
"1197","Charles E. Dibble","66.50"
"2418","Geoffrey Keyes","66.50"
"2671","Paul Reeves","66.50"
"1271","Stephen Gilbert","66.50"
"1391","Ferdinand Finne","66.50"
"1418","Countess of Barcelona María de las Mercedes","66.50"
"1523","Countess of Paris Isabelle of Orléans-Bragance","66.50"
"1076","John Romano","66.50"
"1963","2nd Duke of Connaught and Strathearn Alastair","66.50"
"2312","Prince of Orléans-Braganza João Maria","66.50"
"1320","Grand Duke of Mecklenburg Friedrich Franz","66.50"
